,Address,Price per month €,Capacity,Link
3760,"Hyde Court Townsend street, South City Centre, Dublin 2",2500.0,"2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/hyde-court-townsend-street-south-city-centre-dublin-2/4512413
3418,"3 Bedroom Apartment , Santry Place , Swords Road , Santry, Dublin 9, Co. Dublin",2500.0,"3 bedrooms (3 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/3-Bedroom-Apartment--Santry-Place--Swords-Road--Santry-Dublin-9-Co-Dublin/3234332
3160,"Harcourt Green, Off Harcourt Street,",2500.0,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Harcourt-Green-Off-Harcourt-Street/4909144
158,"Hyde Court, Dublin 2",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Hyde-Court-Dublin-2/5478024/
2576,"18 Pakenham House, Spencer Dock, IFSC, Dublin 1, Co. Dublin",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/18-Pakenham-House-Spencer-Dock-IFSC-Dublin-1-Co-Dublin/5431457
2097,"Burlington Road, Ballsbridge, Dublin 4",2500.0,"2 bedrooms (2 double), 2 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/Burlington-Road-Ballsbridge-Dublin-4/2048038/
3628,"Bridgefield, Northwood, Bridgefield, Northwood",2500.0,"3 bedrooms (3 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Bridgefield-Northwood-Bridgefield-Northwood/1998212
567,"143 St Peter\\\'s Rdwalkinstown, Dublin 12",2500.0,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/143-St-Peters-Rdwalkinstown-Dublin-12/5398799/
2078,"Finsbury House, 79/81 Pembroke Road, Dublin 4",2500.0,"2 bedrooms (2 double), 1 bathroom, furnished or unfurnished",https://www.rent.ie/houses-to-let/Finsbury-House-7981-Pembroke-Road-Dublin-4/2063969/
2591,"Parklands Avenue, Firhouse",2500.0,"4 bedrooms (2 single, 2 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/Parklands-Avenue-Firhouse/5426126
734,"2 Fontenoy Lane, Phibsborough, Dublin 7",2500.0,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/2-Fontenoy-Lane-Phibsborough-Dublin-7/5362675/
2066,"Apartment 2, Coolock Lane, Santry, Dublin 9",2500.0,"3 bedrooms (3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-2-Coolock-Lane-Santry-Dublin-9/2085968/
4515,"Node Living, 25 pembroke street upper, Dublin 2",2500.0,"2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-2-bedroom-2-bathroom-patio-node-living-25-pembroke-street-upper-dublin-2/1527612
